Bus_ID,Bus_Name,Bus_Number_Plate,Bus_Color,Bus_Brand,Class,Departure_Time,Arrival_Time,Duration,Price,Origin_ID,Destination_ID,Capacity
1727,Kangra Bus Stand - Latur Bus Stand,BH 8120 KY,Purple,BYD COMPANY LTD,AC Sleeper,2023-10-21 22:16:38,2023-10-22 08:20:38,604,612,175,191,55
1728,Bhilai Power House Bus Stand - Mahabubnagar Bus Station,BH 3845 CK,Red,BYD COMPANY LTD,AC Executive,2023-09-24 17:49:05,2023-09-25 02:31:05,522,1472,439,329,31
1729,Nadiad Bus Station - Haveri Bus Stand,BH 0220 WV,Yellow,SOLARIS,AC Sleeper,2023-09-11 14:21:34,2023-09-12 00:43:34,622,691,292,237,52
1730,Kolasib Bus Stand - Muzaffarpur Bus Terminal,BH 8649 GL,Yellow,ASHOK LEYLAND,AC Sleeper,2023-10-16 02:31:19,2023-10-16 13:30:19,659,737,371,203,42
1731,Churachandpur Bus Station - Bhimpore Bus Stop,BH 5376 JC,Purple,MERCEDES BENZ,Non AC Sleeper,2023-09-23 02:20:20,2023-09-23 11:26:20,546,496,419,434,31
1732,Raichur Bus Stand - Baramulla Bus Station,BH 4577 MF,White,MERCEDES BENZ,Non AC Sleeper,2023-09-02 00:47:38,2023-09-02 11:17:38,630,342,235,146,49
1733,Jagraon Bus Stand - Balod Bus Terminal,BH 8435 CV,Brown,BLUE BIRD CORPORATION,AC Sleeper,2023-09-04 20:01:29,2023-09-05 04:58:29,537,596,318,454,50
1734,Jalandhar Bus Stand - Quepem Bus Stand,BH 1482 TO,Brown,EICHER MOTORS,Non AC Sleeper,2023-09-29 03:17:43,2023-09-29 14:01:43,644,301,303,400,50
1735,Guntur Bus Stand - Margao KTC Bus Stand,BH 1398 QQ,Blue,TATA MOTORS,Non AC Executive,2023-10-02 20:34:51,2023-10-03 06:02:51,568,850,344,394,32
1736,Burdwan Bus Stand - Idukki Bus Terminal,BH 0532 QF,Yellow,FORCE MOTORS,AC Sleeper,2023-10-07 02:05:49,2023-10-07 10:25:49,500,690,378,272,42
1737,Haldia Bus Terminal - Kancheepuram Bus Stand,BH 0166 MC,Grey,TATA MOTORS,Non AC Executive,2023-10-22 11:49:51,2023-10-22 22:54:51,665,892,379,136,30
1738,Begusarai Bus Stand - Midnapore Bus Stand,BH 6429 XG,Yellow,VOLVO BUSES,Non AC Sleeper,2023-10-12 17:59:16,2023-10-13 03:23:16,564,353,212,390,47
1739,Kota Bus Stand - Jammu Bus Stand,BH 7834 ST,Green,VOLVO BUSES,Non AC Sleeper,2023-10-24 23:25:59,2023-10-25 09:54:59,629,366,45,141,55
1740,Sonamarg Bus Terminal - Khammam Bus Terminal,BH 3708 CZ,Red,ASHOK LEYLAND,AC Executive,2023-10-25 07:20:04,2023-10-25 18:24:04,664,1166,160,326,55
1741,Belagavi Central Bus Stand - Sambalpur Bus Station,BH 7297 ZU,Brown,BYD COMPANY LTD,Non AC Sleeper,2023-10-07 12:55:53,2023-10-08 00:30:53,695,333,224,460,46
1742,Chitkul Bus Stop - Wardha Bus Station,BH 8930 RR,Brown,VOLVO BUSES,AC Sleeper,2023-10-18 15:59:04,2023-10-19 00:55:04,536,609,178,199,43
1743,Raigad Bus Stop - Sonipat Stand,BH 9838 KP,Black,MAHINDRA & MAHINDRA,AC Executive,2023-10-27 11:55:36,2023-10-27 22:35:36,640,1084,200,28,52
1744,Nagaur Terminal - Anand Bus Stop,BH 5212 UV,Brown,VOLVO BUSES,Non AC Sleeper,2023-10-11 05:14:52,2023-10-11 14:06:52,532,291,60,289,51
1745,Alappuzha Bus Stand - Sagar Bus Depot,BH 6994 OP,Purple,MAHINDRA & MAHINDRA,Non AC Executive,2023-10-16 18:48:22,2023-10-17 06:29:22,701,950,266,86,40
1746,Katra Bus Terminus - Kota Bus Stand,BH 5744 VS,Blue,SOLARIS,Non AC Sleeper,2023-09-27 02:33:10,2023-09-27 12:31:10,598,333,157,45,35
1747,Jaipur Central Bus Station - Jabalpur Central Bus Station,BH 6039 GA,Yellow,ASHOK LEYLAND,Non AC Sleeper,2023-09-26 04:52:48,2023-09-26 12:59:48,487,461,61,84,33
1748,Chennai Mofussil Bus Terminus - Dharmanagar Bus Stop,BH 8048 ER,Blue,TATA MOTORS,Non AC Sleeper,2023-10-06 13:44:24,2023-10-07 01:06:24,682,489,121,425,47
1749,Kapurthala Bus Stop - Midnapore Bus Stand,BH 4806 YV,Red,SOLARIS,AC Sleeper,2023-10-07 16:49:27,2023-10-08 02:11:27,562,581,316,390,39
1750,Giridih Bus Terminal - Cuddalore Bus Stand,BH 2130 CW,Purple,EICHER MOTORS,AC Executive,2023-10-13 04:13:14,2023-10-13 12:19:14,486,1053,247,134,45
1751,Jamui Bus Stop - Hanumangarh Depot,BH 6256 GC,Purple,BLUE BIRD CORPORATION,AC Executive,2023-10-13 19:10:42,2023-10-14 04:26:42,556,1440,216,77,40
1752,Hassan Bus Station - Sarai Kale Khan,BH 4274 LK,Blue,BYD COMPANY LTD,Non AC Sleeper,2023-09-30 05:39:26,2023-09-30 14:09:26,510,314,231,19,39
1753,Barnala Bus Terminal - Jodhpur Bus Stand,BH 1341 YR,Black,MERCEDES BENZ,AC Executive,2023-09-12 20:58:53,2023-09-13 05:37:53,519,1198,312,42,54
1754,Bhavnagar Bus Station - Shimla Inter-State Bus Terminus,BH 5218 DD,Brown,BLUE BIRD CORPORATION,Non AC Executive,2023-09-21 14:14:00,2023-09-22 00:18:00,604,922,285,161,55
1755,Chikkamagaluru Bus Terminal - Bharuch Bus Terminal,BH 4784 KZ,Pink,TATA MOTORS,Non AC Sleeper,2023-10-11 10:03:38,2023-10-11 18:08:38,485,394,240,290,31
1756,Faridkot Bus Station - Jamtara Bus Station,BH 1654 YZ,Green,EICHER MOTORS,AC Sleeper,2023-09-30 03:17:06,2023-09-30 12:49:06,572,715,310,251,42
1757,Barmer Terminal - Sawai Madhopur Junction,BH 3857 HF,White,SOLARIS,Non AC Sleeper,2023-10-01 16:05:38,2023-10-02 02:31:38,626,322,50,53,37
1758,Gulbarga Bus Stand - Bikaner Bus Station,BH 4941 DZ,Brown,ASHOK LEYLAND,AC Sleeper,2023-09-16 11:55:14,2023-09-16 22:29:14,634,646,232,46,35
1759,Baramulla Bus Station - Narayanpur Bus Stand,BH 6226 WD,Grey,FORCE MOTORS,AC Sleeper,2023-09-10 12:33:19,2023-09-10 23:41:19,668,614,146,455,48
1760,Surat Central Bus Depot - Deoghar Bus Stand,BH 4446 YR,Grey,VOLVO BUSES,AC Sleeper,2023-10-13 08:39:21,2023-10-13 16:56:21,497,692,282,246,39
1761,Kolasib Bus Stand - Quepem Bus Stand,BH 6834 EG,White,TATA MOTORS,Non AC Sleeper,2023-09-24 12:27:51,2023-09-24 22:52:51,625,389,371,400,53
1762,Darjeeling Bus Stop - Ambikapur Bus Stand,BH 0558 EE,Grey,MERCEDES BENZ,AC Executive,2023-10-21 10:48:22,2023-10-21 22:17:22,689,1016,391,445,46
1763,Bankura Bus Terminus - Phulbani Bus Depot,BH 4071 AM,Green,BYD COMPANY LTD,AC Sleeper,2023-10-01 00:40:25,2023-10-01 11:22:25,642,715,383,473,38
1764,Koderma Bus Depot - Dungarpur Bus Stop,BH 2696 HY,Blue,ASHOK LEYLAND,AC Sleeper,2023-09-21 23:54:18,2023-09-22 09:06:18,552,516,260,69,33
1765,Guntur Bus Stand - Barmer Terminal,BH 5113 UW,Black,EICHER MOTORS,Non AC Sleeper,2023-09-08 22:20:56,2023-09-09 07:01:56,521,441,344,50,34
1766,Malappuram Bus Stand - Kothagudem Bus Station,BH 7967 BK,Green,TATA MOTORS,AC Sleeper,2023-09-15 05:55:45,2023-09-15 15:41:45,586,673,274,334,42
1767,Diglipur Bus Stand - Itanagar Bus Stand,BH 3009 EL,Grey,TATA MOTORS,AC Sleeper,2023-09-25 19:36:34,2023-09-26 04:10:34,514,709,428,409,42
1768,Kharagpur Bus Stop - Coimbatore Gandhipuram,BH 7986 CK,Black,SOLARIS,Non AC Sleeper,2023-10-20 04:47:08,2023-10-20 13:14:08,507,311,380,123,54
1769,Tumakuru Bus Stand - Moradabad Bus Depot,BH 5262 FL,Brown,EICHER MOTORS,AC Executive,2023-10-08 10:14:45,2023-10-08 19:24:45,550,1470,229,110,43
1770,Udaipur Bus Terminal - Kaithal Bus Stop,BH 2092 OQ,Grey,EICHER MOTORS,Non AC Executive,2023-09-21 22:24:59,2023-09-22 06:43:59,499,833,422,30,46
1771,Dhamtari Bus Stand - Korba Bus Station,BH 8575 SW,Grey,EICHER MOTORS,AC Executive,2023-09-14 05:13:24,2023-09-14 17:10:24,717,1112,450,443,48
1772,Rourkela Bus Stop - Jhabua Bus Stand,BH 1247 CS,White,VOLVO BUSES,AC Sleeper,2023-10-12 14:11:00,2023-10-12 22:34:00,503,695,461,99,50
1773,Lunglei Bus Terminal - Canacona Bus Stand,BH 4873 EP,Blue,BYD COMPANY LTD,Non AC Executive,2023-09-08 18:34:12,2023-09-09 03:08:12,514,953,368,401,39
1774,Palanpur Bus Station - Kanhangad Bus Terminal,BH 6272 JV,Pink,SOLARIS,AC Executive,2023-09-07 21:13:10,2023-09-08 06:54:10,581,1340,297,279,47
1775,Koraput Bus Stand - Spiti Bus Stop,BH 9524 TC,Black,TATA MOTORS,AC Executive,2023-09-20 23:39:28,2023-09-21 08:15:28,516,1253,465,174,52
1776,Bhagalpur Bus Station - Gandhidham Bus Stand,BH 0862 TD,Green,FORCE MOTORS,AC Sleeper,2023-10-28 04:53:54,2023-10-28 16:35:54,702,649,204,295,35
1777,Sangrur Bus Stop - Bhadrachalam Bus Depot,BH 1446 YT,Green,EICHER MOTORS,AC Sleeper,2023-10-03 15:06:20,2023-10-04 02:22:20,676,722,311,335,52
1778,Gulbarga Bus Stand - Rourkela Bus Stop,BH 6049 HL,Pink,BLUE BIRD CORPORATION,AC Executive,2023-09-13 16:28:21,2023-09-14 01:38:21,550,1163,232,461,30
1779,Mehsana Bus Stop - Sawai Madhopur Junction,BH 0254 LJ,Blue,MERCEDES BENZ,AC Executive,2023-09-29 17:24:35,2023-09-30 04:55:35,691,1372,293,73,52
1780,Rohini - Rajnandgaon Bus Stop,BH 2275 SD,Purple,TATA MOTORS,AC Executive,2023-10-19 21:34:48,2023-10-20 08:12:48,638,1441,12,446,37
1781,Bhilwara Bus Depot - Sangrur Bus Stop,BH 7969 UZ,Pink,FORCE MOTORS,AC Sleeper,2023-10-19 21:22:52,2023-10-20 08:13:52,651,655,72,311,43
1782,Aalo Bus Stand - Baripada Bus Station,BH 5609 BG,Yellow,TATA MOTORS,Non AC Executive,2023-10-02 22:48:34,2023-10-03 08:26:34,578,812,413,471,50
1783,Bhimpore Bus Stop - Bishnupur Bus Terminal,BH 2183 YS,Brown,FORCE MOTORS,Non AC Sleeper,2023-10-07 14:19:49,2023-10-07 23:53:49,574,340,434,417,34
1784,Hindupur Bus Stop - Sagar Bus Depot,BH 5593 EL,Yellow,MERCEDES BENZ,AC Executive,2023-10-05 08:33:09,2023-10-05 17:14:09,521,1170,357,86,47
1785,Bahadurgarh Terminal - Kishtwar Bus Terminal,BH 4952 WG,White,MAHINDRA & MAHINDRA,Non AC Executive,2023-09-27 14:43:47,2023-09-27 23:32:47,529,962,37,153,47
1786,Canacona Bus Stand - Barmer Terminal,BH 9238 ZB,White,BLUE BIRD CORPORATION,Non AC Executive,2023-09-12 00:00:18,2023-09-12 09:49:18,589,930,401,50,33
1787,Sarai Kale Khan - Durgapur Bus Stand,BH 4048 EL,White,BLUE BIRD CORPORATION,Non AC Executive,2023-10-08 07:26:51,2023-10-08 16:58:51,572,879,19,376,55
1788,Kailashahar Bus Station - Hansi Bus Stand,BH 8563 CD,Grey,BLUE BIRD CORPORATION,Non AC Sleeper,2023-10-14 17:57:48,2023-10-15 02:45:48,528,459,424,38,47
1789,Ponda Bus Stand - Bhubaneswar Master Canteen Bus Stand,BH 7850 QA,Blue,VOLVO BUSES,AC Executive,2023-10-10 19:25:46,2023-10-11 07:21:46,716,1026,397,456,48
1790,Siwan Bus Station - Jhansi Bus Stop,BH 5372 BH,Blue,VOLVO BUSES,Non AC Sleeper,2023-09-08 14:25:17,2023-09-09 01:57:17,692,497,215,111,40
1791,Ramgarh Bus Stand - Amravati Bus Stand,BH 6455 FA,Black,FORCE MOTORS,Non AC Sleeper,2023-10-13 16:51:03,2023-10-14 03:01:03,610,497,248,189,53
1792,Gurdaspur Bus Stand - Bijapur Bus Stop,BH 8066 FS,Purple,MERCEDES BENZ,AC Executive,2023-10-28 03:41:49,2023-10-28 13:50:49,609,1116,313,452,52
1793,Bankura Bus Terminus - Champhai Bus Stand,BH 7912 IX,Black,MERCEDES BENZ,Non AC Sleeper,2023-09-12 16:38:18,2023-09-13 04:02:18,684,392,383,369,51
1794,Mangaluru Central Bus Station - Palakkad KSRTC Bus Stand,BH 9610 RM,Grey,MERCEDES BENZ,AC Executive,2023-09-30 17:23:44,2023-10-01 03:03:44,580,1091,225,267,37
1795,Ara Bus Terminus - Manali Bus Stand,BH 2514 RS,Grey,EICHER MOTORS,AC Sleeper,2023-10-25 11:33:44,2023-10-25 21:22:44,589,520,207,162,45
1796,Bemetara Bus Stand - Secunderabad Bus Station,BH 8350 HV,Grey,VOLVO BUSES,AC Sleeper,2023-09-17 20:11:15,2023-09-18 06:08:15,597,578,453,322,39
1797,Tiruppur Bus Terminus - Bagalkot Bus Station,BH 5699 QF,Black,TATA MOTORS,AC Executive,2023-10-10 23:16:00,2023-10-11 08:57:00,581,1166,135,236,46
1798,Howrah Bus Station - Barmer Terminal,BH 4641 PC,Black,BLUE BIRD CORPORATION,Non AC Sleeper,2023-09-26 12:53:57,2023-09-26 23:47:57,654,468,374,50,33
1799,Raipur Pandri Bus Stand - Barnala Bus Terminal,BH 2961 FC,Yellow,BYD COMPANY LTD,AC Executive,2023-10-12 19:08:23,2023-10-13 06:07:23,659,1192,438,312,38
1800,Hyderabad MGBS - Mahatma Gandhi Bus Station - Kishtwar Bus Terminal,BH 2125 FC,Pink,BLUE BIRD CORPORATION,AC Executive,2023-10-28 17:55:53,2023-10-29 02:37:53,522,1445,321,153,31
1801,Mansa Bus Station - Kasaragod Bus Stand,BH 5547 SA,Black,TATA MOTORS,AC Sleeper,2023-09-07 02:04:24,2023-09-07 11:58:24,594,662,315,270,35
1802,Hyderabad MGBS - Mahatma Gandhi Bus Station - Kollam KSRTC Bus Stand,BH 0538 FW,Red,SOLARIS,AC Executive,2023-09-18 01:24:49,2023-09-18 11:45:49,621,1415,321,265,34
1803,Una Bus Station - Lohardaga Bus Station,BH 7981 FT,Grey,EICHER MOTORS,AC Sleeper,2023-09-26 17:24:12,2023-09-27 03:42:12,618,523,171,256,55
1804,Keonjhar Bus Station - Ongole Bus Stand,BH 1694 BB,Red,SOLARIS,Non AC Executive,2023-09-05 16:57:30,2023-09-06 03:13:30,616,980,466,353,32
1805,Chitradurga Bus Stand - Siliguri Tenzing Norgay Bus Terminus,BH 1507 MS,Pink,TATA MOTORS,Non AC Sleeper,2023-10-18 13:27:45,2023-10-18 23:04:45,577,310,239,375,50
1806,Kolkata Esplanade Bus Terminus - Vizianagaram Bus Stop,BH 5598 MZ,Black,FORCE MOTORS,AC Executive,2023-09-05 16:34:30,2023-09-06 00:43:30,489,1268,373,351,34
1807,Sonamarg Bus Terminal - Ajmer Bus Terminal,BH 1059 HT,Brown,MAHINDRA & MAHINDRA,Non AC Executive,2023-10-20 11:35:30,2023-10-20 21:22:30,587,753,160,44,38
1808,Kalaburagi Bus Station - Mehsana Bus Stop,BH 2730 ID,Black,SOLARIS,AC Sleeper,2023-10-08 16:50:27,2023-10-09 04:17:27,687,728,227,293,48
1809,Mayabunder Bus Stop - Tumakuru Bus Stand,BH 5586 MI,Blue,SOLARIS,Non AC Executive,2023-10-21 01:43:51,2023-10-21 10:43:51,540,791,429,229,45
1810,Manali Bus Stand - Kangra Bus Stand,BH 1897 NM,Yellow,ASHOK LEYLAND,Non AC Sleeper,2023-10-22 11:33:53,2023-10-22 22:35:53,662,431,162,175,37
1811,Ambassa Bus Stand - Godda Bus Stand,BH 3728 FF,White,BYD COMPANY LTD,Non AC Sleeper,2023-10-18 10:03:52,2023-10-18 18:31:52,508,473,423,259,38
1812,Dharwad Bus Stop - Muzaffarpur Bus Terminal,BH 5279 MY,Red,EICHER MOTORS,Non AC Executive,2023-09-07 06:13:32,2023-09-07 15:43:32,570,991,238,203,51
1813,Ramgarh Bus Stand - Moradabad Bus Depot,BH 1677 LG,Blue,TATA MOTORS,AC Executive,2023-10-04 11:41:23,2023-10-04 19:52:23,491,1012,248,110,48
1814,Kapurthala Bus Stop - Bhiwandi Bus Terminus,BH 9012 BK,Black,BYD COMPANY LTD,Non AC Executive,2023-10-12 22:54:44,2023-10-13 07:47:44,533,798,316,198,50
1815,Pulwama Bus Terminal - Koraput Bus Stand,BH 6753 OK,White,VOLVO BUSES,Non AC Executive,2023-09-22 09:40:18,2023-09-22 18:46:18,546,765,147,465,48
1816,Akola Bus Depot - Daman Bus Stand,BH 7746 UT,Black,ASHOK LEYLAND,AC Sleeper,2023-10-13 05:11:58,2023-10-13 14:01:58,530,626,190,432,45
1817,Quepem Bus Stand - Ambikapur Bus Stand,BH 9900 RJ,White,SOLARIS,Non AC Sleeper,2023-10-22 09:28:50,2023-10-22 18:19:50,531,308,400,445,47
1818,Doda Bus Station - Buxar Bus Stand,BH 7783 RJ,Red,TATA MOTORS,AC Executive,2023-10-01 09:50:51,2023-10-01 21:08:51,678,1136,152,217,43
1819,Aurangabad Central Bus Depot - Kashmiri Gate,BH 6848 OR,Yellow,FORCE MOTORS,AC Executive,2023-10-26 21:46:02,2023-10-27 09:38:02,712,1182,185,4,55
1820,Cuddalore Bus Stand - Bhuj Bus Terminal,BH 4419 VX,Black,EICHER MOTORS,AC Executive,2023-10-13 13:18:53,2023-10-14 00:12:53,654,1436,134,296,38
1821,Pali Bus Stand - Chikkamagaluru Bus Terminal,BH 0694 AC,Grey,TATA MOTORS,AC Sleeper,2023-09-05 08:26:07,2023-09-05 18:24:07,598,627,54,240,54
1822,Bharuch Bus Terminal - Bharatpur Bus Station,BH 1859 AW,Blue,FORCE MOTORS,AC Sleeper,2023-09-03 01:44:21,2023-09-03 10:06:21,502,725,290,55,38
1823,Vellore New Bus Stand - Tonk Bus Stop,BH 8122 NY,Yellow,BYD COMPANY LTD,AC Sleeper,2023-10-13 13:14:04,2023-10-13 22:37:04,563,612,128,59,42
1824,Latur Bus Stand - Sitamarhi Bus Stop,BH 0208 PQ,Black,VOLVO BUSES,Non AC Executive,2023-10-13 06:18:08,2023-10-13 15:43:08,565,769,191,220,49
1825,Poonch Bus Stand - Satna Bus Stop,BH 2254 DA,Brown,SOLARIS,AC Executive,2023-09-21 12:06:27,2023-09-21 22:35:27,629,1169,151,88,43
1826,Balurghat Bus Stop - Ponda Bus Stand,BH 7615 GI,Blue,ASHOK LEYLAND,AC Sleeper,2023-09-25 16:16:39,2023-09-26 00:55:39,519,611,384,397,39
1827,Hansi Bus Stand - Gandhidham Bus Stand,BH 6846 TC,Pink,BLUE BIRD CORPORATION,Non AC Sleeper,2023-10-14 13:38:53,2023-10-15 01:17:53,699,433,38,295,34
1828,Hajipur Bus Depot - Baharampur Bus Stand,BH 9354 YZ,Black,MERCEDES BENZ,AC Sleeper,2023-09-10 19:51:20,2023-09-11 07:40:20,709,728,214,385,45
1829,Devka Beach Bus Terminal - Kathua Bus Terminal,BH 8264 CN,White,FORCE MOTORS,Non AC Sleeper,2023-10-06 05:01:53,2023-10-06 15:56:53,655,288,437,143,37
1830,Khanna Bus Stand - Raigad Bus Stop,BH 5808 QK,Black,EICHER MOTORS,AC Executive,2023-09-24 23:29:09,2023-09-25 10:16:09,647,1163,314,200,50
1831,Kharagpur Bus Stop - Tenali Bus Stand,BH 5166 SK,Black,FORCE MOTORS,AC Executive,2023-10-26 05:29:49,2023-10-26 13:50:49,501,1189,380,359,40
1832,Bhongir Bus Stop - Rajkot Bus Stand,BH 5844 QF,Blue,BLUE BIRD CORPORATION,AC Executive,2023-09-19 01:15:06,2023-09-19 10:04:06,529,1412,340,284,49
1833,Connaught Place - Rajnandgaon Bus Stop,BH 3732 ZN,Grey,BLUE BIRD CORPORATION,Non AC Sleeper,2023-10-17 21:23:18,2023-10-18 09:08:18,705,297,2,446,30
1834,Spiti Bus Stop - Kolkata Esplanade Bus Terminus,BH 3067 GF,White,EICHER MOTORS,Non AC Executive,2023-09-22 20:32:23,2023-09-23 07:01:23,629,785,174,373,54
1835,Nehru Place - Narayanpur Bus Stand,BH 6527 JH,Pink,MAHINDRA & MAHINDRA,AC Sleeper,2023-10-13 16:15:35,2023-10-14 02:42:35,627,699,1,455,53
1836,Mumbai Central Bus Depot - Gandhidham Bus Stand,BH 2733 SH,Purple,FORCE MOTORS,Non AC Executive,2023-09-24 05:53:12,2023-09-24 16:57:12,664,834,181,295,45
1837,Rajkot Bus Stand - Kanhangad Bus Terminal,BH 0149 CR,Brown,SOLARIS,Non AC Executive,2023-09-14 21:00:37,2023-09-15 05:33:37,513,929,284,279,32
1838,Curchorem Bus Stand - Mangan Bus Station,BH 2746 YX,Pink,VOLVO BUSES,AC Sleeper,2023-09-28 16:01:07,2023-09-29 01:17:07,556,628,398,363,52
1839,Patiala Bus Terminal - Wokha Bus Stand,BH 8031 EN,Brown,EICHER MOTORS,AC Executive,2023-10-27 22:38:13,2023-10-28 10:37:13,719,1128,304,407,50
1840,Palakkad KSRTC Bus Stand - Begusarai Bus Stand,BH 1382 BV,Red,EICHER MOTORS,AC Sleeper,2023-09-15 08:45:29,2023-09-15 17:56:29,551,533,267,212,46
1841,Bathinda Bus Stand - Kota Bus Stand,BH 3376 JE,White,SOLARIS,AC Executive,2023-09-30 07:07:02,2023-09-30 16:08:02,541,1385,305,45,38
1842,Kodungallur Bus Stand - Bettiah Bus Station,BH 0268 LG,Green,MERCEDES BENZ,AC Executive,2023-09-30 01:08:24,2023-09-30 12:37:24,689,1286,277,209,55
1843,Mandi Bus Station - Canacona Bus Stand,BH 9687 GR,Blue,SOLARIS,AC Executive,2023-10-17 06:15:50,2023-10-17 15:35:50,560,1379,165,401,39
1844,Karnal Bus Stand - Sonipat Stand,BH 2004 BH,Brown,EICHER MOTORS,Non AC Sleeper,2023-09-11 20:37:22,2023-09-12 06:07:22,570,305,23,28,31
1845,Ongole Bus Stand - Chittoor Bus Station,BH 0930 CQ,Green,MERCEDES BENZ,AC Sleeper,2023-10-04 03:46:15,2023-10-04 13:39:15,593,653,353,356,49
1846,Nashik Central Bus Stand - Bhongir Bus Stop,BH 5371 WL,Red,BLUE BIRD CORPORATION,AC Sleeper,2023-09-10 23:36:54,2023-09-11 09:40:54,604,519,184,340,30
1847,Kolasib Bus Stand - Kota Bus Stand,BH 4079 GH,White,SOLARIS,Non AC Executive,2023-09-27 06:34:20,2023-09-27 16:29:20,595,949,371,65,41
1848,Amravati Bus Stand - Rajkot Bus Stand,BH 2526 JQ,Grey,EICHER MOTORS,AC Executive,2023-09-29 19:48:37,2023-09-30 06:28:37,640,1389,189,284,49
1849,Jodhpur Bus Stand - Udaipur City Depot,BH 6574 JB,Brown,ASHOK LEYLAND,AC Executive,2023-10-16 23:34:27,2023-10-17 08:00:27,506,1489,42,63,42
1850,Durgapur Bus Stand - Burdwan Bus Stand,BH 6295 XQ,Grey,BYD COMPANY LTD,AC Executive,2023-09-24 19:56:45,2023-09-25 06:06:45,610,1089,376,378,44
1851,Bilaspur Bus Depot - Purulia Bus Terminal,BH 4448 VJ,Black,VOLVO BUSES,AC Executive,2023-09-01 21:59:42,2023-09-02 07:08:42,549,1223,170,389,38
1852,Varanasi Cantt - Chaibasa Bus Depot,BH 1665 FC,Pink,TATA MOTORS,AC Sleeper,2023-10-25 03:08:53,2023-10-25 12:13:53,545,713,103,250,36
1853,Neemuch Bus Station - Sawai Madhopur Junction,BH 2891 JV,Pink,BLUE BIRD CORPORATION,AC Executive,2023-09-13 12:48:07,2023-09-13 23:51:07,663,1272,98,73,36
1854,Nanded Bus Stand - Bicholim Bus Stand,BH 1783 PD,Grey,MAHINDRA & MAHINDRA,Non AC Sleeper,2023-10-22 23:56:49,2023-10-23 10:04:49,608,327,194,399,48
1855,Koderma Bus Depot - Bidar Bus Terminal,BH 1775 LX,Pink,BYD COMPANY LTD,AC Executive,2023-09-24 17:09:14,2023-09-25 01:55:14,526,1339,260,234,41
1856,Bhagalpur Bus Station - Hazaribagh Bus Station,BH 0381 QH,Grey,BYD COMPANY LTD,AC Sleeper,2023-10-19 01:22:21,2023-10-19 10:01:21,519,557,204,245,30
1857,Rohtak Bus Terminal - Rourkela Bus Stop,BH 3606 KG,Purple,BLUE BIRD CORPORATION,AC Executive,2023-10-06 16:57:05,2023-10-07 04:54:05,717,1349,22,461,42
1858,Yamunanagar Terminal - Kullu Bus Depot,BH 9335 QH,Purple,SOLARIS,Non AC Sleeper,2023-10-10 22:56:16,2023-10-11 09:06:16,610,255,26,164,35
1859,Bettiah Bus Station - Tumakuru Bus Stand,BH 9433 BL,Purple,TATA MOTORS,Non AC Sleeper,2023-09-03 09:22:56,2023-09-03 20:58:56,696,499,209,229,53
1860,Ayodhya Bus Station - Mandsaur Bus Depot,BH 9596 BC,Brown,BYD COMPANY LTD,Non AC Sleeper,2023-09-10 19:42:14,2023-09-11 05:54:14,612,492,114,93,41
1861,Margao KTC Bus Stand - Khanna Bus Stand,BH 8475 EL,Yellow,MERCEDES BENZ,AC Sleeper,2023-10-28 23:14:51,2023-10-29 09:54:51,640,527,394,314,31
1862,Ayodhya Bus Station - Bettiah Bus Station,BH 0315 ZH,Grey,FORCE MOTORS,AC Executive,2023-09-11 06:26:15,2023-09-11 16:30:15,604,1246,114,209,43
1863,Sonamarg Bus Terminal - Rourkela Bus Stop,BH 1240 QO,Blue,BYD COMPANY LTD,AC Executive,2023-09-29 17:47:37,2023-09-30 04:32:37,645,1420,160,461,55
1864,Poonch Bus Stand - Kohima Bus Stand,BH 1888 IF,Grey,ASHOK LEYLAND,Non AC Sleeper,2023-10-25 03:02:41,2023-10-25 13:14:41,612,376,151,403,47
1865,Bishnupur Bus Terminal - Sangli Bus Stand,BH 5123 EJ,Purple,MAHINDRA & MAHINDRA,Non AC Executive,2023-09-16 09:44:05,2023-09-16 17:49:05,485,980,417,196,52
1866,Kinnaur Bus Terminal - Tonk Bus Stop,BH 7085 FE,Red,EICHER MOTORS,AC Executive,2023-09-19 11:03:58,2023-09-19 19:54:58,531,1183,173,59,51
1867,Kishangarh Stand - Palampur Bus Stand,BH 7239 OO,Red,SOLARIS,AC Executive,2023-10-12 15:27:57,2023-10-13 03:24:57,717,1388,58,169,31
1868,Jharsuguda Bus Terminal - Rampur Bus Stand,BH 4876 UB,Blue,BYD COMPANY LTD,Non AC Sleeper,2023-10-08 11:56:30,2023-10-08 21:26:30,570,305,464,179,45
1869,Alappuzha Bus Stand - AIIMS,BH 8979 ZD,White,MERCEDES BENZ,Non AC Sleeper,2023-09-10 12:20:18,2023-09-10 20:50:18,510,467,266,15,50
1870,Spiti Bus Stop - Bhopal Bus Stand,BH 4588 UF,Brown,ASHOK LEYLAND,AC Sleeper,2023-09-19 08:51:42,2023-09-19 20:14:42,683,701,174,81,46
1871,Tonk Bus Stop - Gurugram Bus Stand,BH 6888 HC,Purple,MAHINDRA & MAHINDRA,AC Executive,2023-09-20 06:02:48,2023-09-20 14:06:48,484,1486,79,20,51
1872,Korba Bus Station - Tirunelveli New Bus Stand,BH 2339 DG,Blue,BYD COMPANY LTD,AC Executive,2023-09-28 10:55:04,2023-09-28 20:47:04,592,1009,443,127,46
